English,Portuguese
RLadies+,RLadies+
R-Ladies,R-Ladies
Code of Conduct,Código de Conduta
chapter,capítulo
chapters,capítulos
organiser,organizador/a
organisers,organizadores/as
community member,membro da comunidade
community members,membros da comunidade
minority genders,gêneros minoritários
gender diversity,diversidade de gênero
gender minority,minoria de gênero
non-binary,não-binário
genderqueer,genderqueer
agender,agênero
meetup,meetup
Meetup,Meetup
open source,código aberto
R package,pacote R
R packages,pacotes R
R community,comunidade R
R user,usuário/a de R
R users,usuários/as de R
Global Team,Equipe Global
global team,equipe global
mentor,mentora
mentee,mentorado/a
speaker,palestrante
speakers,palestrantes
talk,palestra
talks,palestras
workshop,workshop
workshops,workshops
tutorial,tutorial
tutorials,tutoriais
blog post,publicação do blog
blog posts,publicações do blog
get involved,participe
directory,diretório
abstract review,revisão de resumos
abstract,resumo
abstracts,resumos
Slack,Slack
GitHub,GitHub
Mastodon,Mastodon
Bluesky,Bluesky
